"OBJECTID","PITID","KST","ANLAG_OBJN","AKTENZEICH","STANDORT_N","KENNZEICHE","NAME_NUMBE","NAME_BEZIR","NAME","GEFAELLT","LAUFENDE_N","ART_BOTANI","ART_DEUTSC","STAMMUMFAN","KRONNENDUR","BAUMHOEHE","ZUSATZ","ERSTERFASS","REGEL_KONT","EAST","NORTH","FAELLDATUM","NAME_D","MESS_ART","MESS_DATUM","VITALITAET"
"84","00008100:000365e7","1110","1547","I 30 69","280","1547-","Goslarsche Str., Martinifriedhof","Bezirk 01","Grünanlage (GA)","0.0","1","Aesculus hippocastanum","Roßkastanie","226","0","26","","0.0","20210608000000","602745.06","5791321.34","0.0","Bäume an Wegen in Grünanlagen","korrig. photogrammetr. Messung, LP 2","1242597600.0","schwach geschädigt, 11-25%"
"85","00008100:000365ec","1110","1541","I 30 63","280","1541-","Inselwall 11 Löbbeckes Insel","Bezirk 01","Parkanlage (PA)","0.0","1","Fraxinus excelsior","Gemeine Esche","132","0","18","","0.0","20210812000000","603300.33","5791977.37","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"86","00008100:00036611","1110","1514","I 30 35","420","1514-","Amalienplatz, SJ","Bezirk 01","Spiel- und Jugendplatz (SJ)","0.0","1","Corylus colurna","Baum-Hasel","151","0","15","","0.0","20211118000000","602874.26","5792382.34","0.0","Bäume an Wegen in Grünanlagen","korrig. photogrammetr. Messung, LP 2","1242597600.0","schwach geschädigt, 11-25%"
"87","00008100:00036612","1110","1514","I 30 35","290","1514-","Amalienplatz, SJ","Bezirk 01","Spiel- und Jugendplatz (SJ)","0.0","1","Robinia pseudoacacia","Gemeine Robinie","94","0","12","","0.0","20211117000000","602944.77","5792418.97","0.0","Bäume an Wegen in Grünanlagen","korrig. photogrammetr. Messung, LP 2","1242597600.0","schwach geschädigt, 11-25%"
"88","00008100:0003661d","1110","1621","I 30 143","290","1621-","Gieselerwall vor Neustadtmühlengraben","Bezirk 01","Grünanlage (GA)","0.0","1","Robinia pseudoacacia","Gemeine Robinie","65","0","8","","0.0","20201202000000","603384.9","5790929.62","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"89","00008100:00036634","1110","1621","I 30 143","300","1621-","Gieselerwall vor Neustadtmühlengraben","Bezirk 01","Grünanlage (GA)","0.0","1","Robinia pseudoacacia","Gemeine Robinie","115","0","13","","0.0","20201202000000","603379.58","5790931.0","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"90","00008100:00036658","1110","1621","I 30 143","330","1621-","Gieselerwall vor Neustadtmühlengraben","Bezirk 01","Grünanlage (GA)","0.0","1","Cornus  species","Hartriegel","41","0","5","","0.0","20210910000000","603364.93","5790937.62","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"91","00008100:0003666d","1110","1610","I 30 132","310","1610-","Inselwall/Schubertstr.: Bosselgraben","Bezirk 01","Grünanlage (GA)","0.0","1","Acer platanoides","Spitz-Ahorn","150","0","25","","0.0","20200816000000","603718.33","5792215.25","0.0","Bäume an Wegen in Grünanlagen","korrig. photogrammetr. Messung, LP 2","1242597600.0","schwach geschädigt, 11-25%"
"92","00008100:0003668c","1110","1541","I 30 63","340","1541-","Inselwall 11 Löbbeckes Insel","Bezirk 01","Parkanlage (PA)","0.0","1","Acer platanoides","Spitz-Ahorn","137","0","17","","0.0","20210812000000","603316.19","5791990.16","0.0","Bäume an Wegen in Grünanlagen","digit. terrestr. Aufmaß, LP1","1242597600.0","schwach geschädigt, 11-25%"
"93","00008100:0003668f","1110","1499","I 30 19","350","1499-","Uferstr., Brücke Biberweg-Heizkraftwerk","Bezirk 01","Grünanlage (GA)","0.0","1","Salix alba","Silber-Weide","190","0","22","","0.0","20190123000000","603216.09","5793234.67","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0",""
"94","00008100:000366a9","1110","1637","I 30 158","340","1637-","Isoldestraße 60, FöS u. GS, mit Spielger.","Bezirk 01","Schule (SC)","0.0","1","Acer pseudoplatanus","Berg-Ahorn","129","0","14","","0.0","20191214000000","603805.81","5793709.92","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","mittelstark geschädigt, 26-60%"
"95","00008100:000366d0","1110","1557","I 30 73","430","1557-","Sidonienstraße 3, RS, mit Garten","Bezirk 01","Schule (SC)","0.0","1","Salix caprea","Sal-Weide","101","0","14","","0.0","20220108000000","603007.77","5791415.09","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","mittelstark geschädigt, 26-60%"
"96","00008100:000366ee","1110","1557","I 30 73","370","1557-","Sidonienstraße 3, RS, mit Garten","Bezirk 01","Schule (SC)","0.0","1","Aesculus hippocastanum","Roßkastanie","75","0","17","","0.0","20220108000000","603021.4","5791395.76","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"97","00008100:00036704","1110","1547","I 30 69","330","1547-","Goslarsche Str., Martinifriedhof","Bezirk 01","Grünanlage (GA)","0.0","1","Robinia pseudoacacia","Gemeine Robinie","242","0","26","","0.0","20210608000000","602777.68","5791286.35","0.0","Bäume an Wegen in Grünanlagen","korrig. photogrammetr. Messung, LP 2","1242597600.0","stark geschädigt, >60%"
"98","00008100:0003671e","1110","1621","I 30 143","340","1621-","Gieselerwall vor Neustadtmühlengraben","Bezirk 01","Grünanlage (GA)","0.0","1","Acer pseudoplatanus","Berg-Ahorn","156","0","15","","0.0","20201202000000","603360.21","5790934.08","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"99","00008100:0003672d","1110","1570","I 30 92","250","1570-","Hohetorwall->Echternstr.","Bezirk 01","Grünanlage (GA)","0.0","1","Acer pseudoplatanus","Berg-Ahorn","38","0","9","","0.0","20160902000000","603232.35","5791582.73","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","schwach geschädigt, 11-25%"
"100","00008100:00036742","1110","1499","I 30 19","460","1499-","Uferstr., Brücke Biberweg-Heizkraftwerk","Bezirk 01","Grünanlage (GA)","0.0","1","Populus tremula","Espe","128","0","17","","0.0","20190123000000","603206.02","5793267.2","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0",""
"101","00008100:00036745","1110","1541","I 30 63","400","1541-","Inselwall 11 Löbbeckes Insel","Bezirk 01","Parkanlage (PA)","0.0","1","Acer platanoides","Spitz-Ahorn","86","0","19","","0.0","20210812000000","603335.66","5792006.62","0.0","Bäume an Wegen in Grünanlagen","Felderfassung, LP 3","1242597600.0","ohne oder kaum Schadmerkmale, 0-10%"
